job_title,job_date,comp_name,comp_type,comp_size,eco_activity,region,city,benefits,contract,positions,exper,gender,Salary,is_tech_job
Florist,2022-10-31,شركة ذات الهمة التجارية (شركة شخص واحد),1,SA,Trade and Retail,Eastern,AD DAMMAM,0,1,1,2,1,4500.0,0
Manager,2022-11-01,مؤسسة البطان للمقاولات العامة,1,MA,Industrial Manufacturing,Makkah,AL LITH,0,1,5,7,0,4000.0,0
Analyst,2022-11-01,مؤسسة طيبات الجزيرة للحوم,1,SA,Trade and Retail,Eastern,AD DAMMAM,0,1,3,0,1,4000.0,0
Salesperson,2022-11-01,مصنع جيني للعطور ومستحضرات التجميل,1,MB,Industrial Manufacturing,Riyadh,ABA ASLAB,0,1,1,0,0,5000.0,0
Analyst,2022-11-01,شركة مصنع دار النعايم للصناعات الغذائية,1,MA,Industrial Manufacturing,Riyadh,AR RIYADH,0,1,2,2,0,5800.0,0
Salesperson,2022-11-01,مصنع جيني للعطور ومستحضرات التجميل,1,MB,Industrial Manufacturing,Riyadh,ABA ASLAB,0,1,3,0,1,4000.0,0
Accountant,2022-11-01,مؤسسة طيبات الجزيرة للحوم,1,SA,Trade and Retail,Eastern,AD DAMMAM,0,1,2,0,1,4000.0,0
Engineer,2022-11-01,شركة مشراف المدائن للمقاولات,1,MB,Trade and Retail,Riyadh,AR RIYADH,0,1,3,2,2,7000.0,0
Engineer,2022-11-01,شركة مشراف المدائن للمقاولات,1,MB,Trade and Retail,Riyadh,AR RIYADH,0,1,3,2,0,7000.0,0
Analyst,2022-11-01,مؤسسة رؤية المتقدمة للتجارة,1,SB,Trade and Retail,Makkah,JEDDAH,0,1,1,0,0,5000.0,0
Barista,2022-11-01,شركة الجرعة المفرطة للتجارة شركة شخص واحد,1,MB,Trade and Retail,Riyadh,AR RIYADH,1,1,50,2,2,5093.0,0
Manager,2022-11-01,شركة الجرعة المفرطة للتجارة شركة شخص واحد,1,MB,Trade and Retail,Riyadh,AR RIYADH,0,1,20,4,2,6000.0,0
Manager,2022-11-01,شركة الجرعة المفرطة للتجارة شركة شخص واحد,1,MB,Trade and Retail,Qassim,BURAYDAH,0,1,2,4,2,6000.0,0
Salesperson,2022-11-01,مؤسسة الفا بيتا لتقنية المعلومات,1,SA,Technology and Communications,Eastern,AL QATIF,0,1,1,0,0,4000.0,0
Teacher/Trainer,2022-11-01,شركة مدارس الرواد العالمية,1,L,Education,Riyadh,AR RIYADH,1,1,1,4,1,9000.0,0
Manager,2022-11-01,شركة الجرعة المفرطة للتجارة شركة شخص واحد,1,MB,Trade and Retail,Riyadh,AR RIYADH,0,1,20,4,2,7000.0,0
Analyst,2022-11-01,مركز مطمئنه الطبي فرع شركه نخبة الاستشاريين الطبي,1,MB,Healthcare and Pharmaceuticals ,Makkah,JEDDAH,1,1,5,0,2,4000.0,0
Security Guard,2022-11-01,مؤسسة الرجل أنيق التجارية,1,SA,Trade and Retail,Makkah,AL QUNFIDAH,0,1,3,10,0,4000.0,0
Carpenter,2022-11-01,شركة الجزيره للتجاره والتصنيع المحدوده,1,L,Tertiary and Services,Riyadh,AR RIYADH,0,1,2,2,0,4000.0,0
Analyst,2022-11-01,المعهد العالي السعودي الياباني للسيارات,1,MA,Education,Makkah,JEDDAH,1,1,1,2,0,5000.0,0
Technician,2022-11-01,شركة صالح حسين سالم ال سلامه وشريكه,1,G,Tertiary and Services,Riyadh,ABA ASLAB,1,1,1,0,2,5000.0,0
Administrative Assistant,2022-11-01,مؤسسة بيتكم لتقنية المعلومات,1,MA,Trade and Retail,Riyadh,AR RIYADH,0,1,1,0,2,5000.0,0
Salesperson,2022-11-01,شركة ركن الثواني التجارية,1,SB,Trade and Retail,Riyadh,ABA ASLAB,0,1,10,0,0,4000.0,0
Health Assistant,2022-11-01,مستشفى دله فرع شركة دله للخدمات الصحيه,1,L,Tertiary and Services,Riyadh,AR RIYADH,1,1,5,0,2,5000.0,0
Accountant,2022-11-01,شركة رسو الشرق التجارية,1,SB,Trade and Retail,Eastern,AD DAMMAM,0,1,1,2,0,6000.0,0
Analyst,2022-11-01,الشركة العربية للاستثمارات  الزراعيه والحيوانيه,1,MA,Tertiary and Services,Riyadh,AL KHARJ,0,1,2,0,0,5625.0,0
Analyst,2022-11-01,مركز مطمئنه الطبي فرع شركه نخبة الاستشاريين الطبي,1,MB,Healthcare and Pharmaceuticals ,Riyadh,AR RIYADH,0,1,5,0,2,4000.0,0
Accountant,2022-11-01,مؤسسة الرجل أنيق التجارية,1,SA,Trade and Retail,Makkah,AL QUNFIDAH,0,1,3,7,0,4000.0,0
Constructor,2022-11-01,شركة الجزيره للتجاره والتصنيع المحدوده,1,L,Tertiary and Services,Riyadh,AR RIYADH,0,1,1,2,0,5000.0,0
Manager,2022-11-01,شركة الراجح الحديثة للمقاولات المحدودة,1,MC,Tertiary and Services,Madinah,AL MADINAH AL MUNAWARAH,1,1,1,2,2,6000.0,0
Analyst,2022-11-02,مؤسسة السابع و الثلاثون لتنظيم المعارض والمؤتمرات,1,SA,Tertiary and Services,Riyadh,AR RIYADH,0,1,1,2,2,5000.0,0
Analyst,2022-11-02,مؤسسة البرمجة الرائدة لخدمات الاتصالات,1,SA,Technology and Communications,Eastern,AD DAMMAM,1,1,2,0,1,4000.0,0
Salesperson,2022-11-02,محل بيت العائلة للاواني المنزلية,1,SA,Trade and Retail,Jazan,AL 'AYDAB,1,1,1,0,0,3200.0,0
Accountant,2022-11-02,نادي الحجاز الرياضي ببلجرشي,1,SA,Gym and Fitness,Al Baha,BILJURASHI,0,1,1,0,1,4000.0,0
Analyst,2022-11-02,مجمع شفاء طيبة الطبي,1,MA,Healthcare and Pharmaceuticals ,Madinah,AL MADINAH AL MUNAWARAH,0,1,1,0,1,4000.0,0
Receptionist,2022-11-02,مجمع الطبيب زاهر قضيب البنان رقم واحد الطبي العام,1,MB,Healthcare and Pharmaceuticals ,Makkah,MAKKAH AL MUKARRAMAH,0,1,2,0,1,4000.0,0
Salesperson,2022-11-02,مؤسسة لوبا المتطورة التجارية,1,MB,Trade and Retail,Makkah,JEDDAH,1,1,2,2,0,4000.0,0
Analyst,2022-11-02,شركة عالم المحركات للتجارة (شركة شخص واحد),1,MA,Technical Services,Eastern,AL MUBARRAZ,1,1,1,0,0,6000.0,0
Technician,2022-11-02,شركة الساعد الدولية المحدودة,1,MB,Tertiary and Services,Riyadh,AR RIYADH,0,1,1,2,0,5700.0,0
Engineer,2022-11-02,شركة الساعد الدولية المحدودة,1,MB,Tertiary and Services,Riyadh,AR RIYADH,0,1,1,2,1,10000.0,0
Manager,2022-11-02,مؤسسة قدور نجد لخدمات الاعاشة,1,MB,Tertiary and Services,Riyadh,AR RIYADH,0,1,2,2,2,8000.0,0
Analyst,2022-11-02,شركة عالم المحركات للتجارة (شركة شخص واحد),1,MA,Technical Services,Eastern,AL KHOBAR,1,1,2,0,0,6000.0,0
Secretary,2022-11-02,مركز إجادة السلامة للتدريب,1,SB,Technical Services,Makkah,JEDDAH,0,1,1,0,0,6000.0,0
Receptionist,2022-11-02,مؤسسة تصاميم المستقبل للديكور,1,SA,Construction and Real Estate,Eastern,AD DAMMAM,0,1,1,0,1,3500.0,0
Secretary,2022-11-02,شركة عراقة للتقييم العقاري شركة شخص واحد,1,SB,Construction and Real Estate,Riyadh,AR RIYADH,0,1,1,2,2,6000.0,0
Analyst,2022-11-02,شركة ذات الهمة التجارية (شركة شخص واحد),1,SA,Trade and Retail,Eastern,AD DAMMAM,0,1,1,2,1,4500.0,0
Analyst,2022-11-02,شركة عالم المحركات للتجارة (شركة شخص واحد),1,MA,Technical Services,Eastern,AL KHOBAR,1,1,2,2,1,6000.0,0
Accountant,2022-11-03,فر مؤسسة غربي عبدالله محمد الشدادي للمقاولات العامة فرع تأجي,1,SB,Tertiary and Services,Makkah,AL QUNFIDAH,0,1,3,2,1,4500.0,0
Analyst,2022-11-03,شركة العناية والرعاية الطبية شركة شخص واحد,1,SA,Healthcare and Pharmaceuticals ,Al Jouf,AL QURAYYAT,0,1,1,0,1,5000.0,0
Barista,2022-11-03,مقهى الكرز بلوم لتقديم المشروبات,1,SB,Trade and Retail,Madinah,ABA AL BA,0,1,1,2,0,4000.0,0
Auditor,2022-11-03,شركةازياء التجزئة التجارية,1,L,Trade and Retail,Riyadh,AR RIYADH,0,1,1,0,0,8000.0,0
Receptionist,2022-11-03,مركز أقوي عضلة الرياضي,1,SB,Gym and Fitness,Qassim,AL BADAI',0,1,1,0,0,4000.0,0
Analyst,2022-11-03,محل فوق المتوقع للهدايا,1,SA,Trade and Retail,Makkah,JEDDAH,1,1,2,2,1,4000.0,0
Dentist,2022-11-03,شركة العاج الطبية,1,SB,Healthcare and Pharmaceuticals ,Eastern,AL KHOBAR,0,1,2,0,2,7000.0,0
Salesperson,2022-11-03,شركة العهد الجديد للتجارة والتسويق,1,SA,Logistics and Transportation,Riyadh,AR RIYADH,1,1,2,2,2,6000.0,0
Accountant,2022-11-03,شركة العهد الجديد للتجارة والتسويق,1,SA,Logistics and Transportation,Riyadh,AR RIYADH,1,0,1,2,1,4000.0,0
Technician,2022-11-03,شركة أمن وسلامه للمقاولات,1,SB,Trade and Retail,Riyadh,ABA ASLAB,1,1,1,0,2,4000.0,0
Accountant,2022-11-03,ورشة حسن علي آل ربح للحدادة والالمنيوم,1,SB,Industrial Manufacturing,Eastern,AL QATIF,0,1,3,0,2,4000.0,0
Security Guard,2022-11-03,مركز الغربي للمفروشات الراقية,1,SB,Trade and Retail,Makkah,AL QUNFIDAH,0,1,3,4,0,4000.0,0
Salesperson,2022-11-03,مؤسسة قمة الهرم التجارية,1,SB,Trade and Retail,Makkah,AL QUNFIDAH,0,1,4,4,2,4000.0,0
Technician,2022-11-03,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,1,G,Tertiary and Services,Eastern,AL QATIF,0,1,1,0,0,5700.0,0
Teacher/Trainer,2022-11-03,شركة ابناء المجد الاهليه,1,SB,Education,Riyadh,AR RIYADH,0,1,3,0,0,4000.0,0
Manager,2022-11-03,مؤسسه غربي عبدالله محمد الشدادي للمقاولات العامه,1,SB,Construction and Real Estate,Makkah,AL QUNFIDAH,0,1,3,4,0,4000.0,0
Switchboard Operator,2022-11-03,مطعم مذاق الشرفة لتقديم الوجبات,1,MB,Food Services,Eastern,AL KHOBAR,0,1,3,0,2,5000.0,0
Accountant,2022-11-03,مطعم مذاق الشرفة لتقديم الوجبات,1,MB,Food Services,Eastern,AL KHOBAR,0,1,5,0,2,5000.0,0
Chef,2022-11-03,مطعم مذاق الشرفة لتقديم الوجبات,1,MB,Food Services,Eastern,AL KHOBAR,0,1,5,2,2,6000.0,0
Teacher/Trainer,2022-11-03,الشركة العالمية لتطوير المهارات,1,SB,Education,Riyadh,AR RIYADH,0,1,5,4,1,4500.0,0
Clerk,2022-11-03,شركه التقوى للتربيه والتعليم والتدريب المحدوده,1,MB,Education,Riyadh,AR RIYADH,0,1,3,0,0,5000.0,0
Engineer,2022-11-03,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,1,G,Tertiary and Services,Makkah,MAKKAH AL MUKARRAMAH,0,1,1,2,0,8400.0,0
Technician,2022-11-03,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,1,G,Tertiary and Services,Makkah,MAKKAH AL MUKARRAMAH,0,1,1,0,0,5700.0,0
Mechanic,2022-11-03,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,1,G,Tertiary and Services,Eastern,AL QATIF,0,1,1,2,0,5700.0,0
Chef,2022-11-03,مطعم مذاق الشرفة لتقديم الوجبات,1,MB,Food Services,Eastern,AL KHOBAR,0,1,5,0,2,5000.0,0
Accountant,2022-11-04,مؤسسة شريان حائل للمقاولات العامة,1,SB,Construction and Real Estate,Hail,HAIL,0,1,2,4,2,3000.0,0
Analyst,2022-11-04,مؤسسة سوزان محمد علي القيسي للمقاولات العامة,1,SA,Construction and Real Estate,Makkah,JEDDAH,0,1,1,4,1,4000.0,0
Pharmacist,2022-11-04,فرع شركة زد ام سي للتجارة,1,MB,Construction and Real Estate,Makkah,AL QUNFIDAH,0,1,4,0,0,5000.0,0
Nurse,2022-11-04,فرع شركة زد ام سي للتجارة,1,MB,Tertiary and Services,Makkah,AL QUNFIDAH,0,1,5,0,1,4000.0,0
Teacher/Trainer,2022-11-04,مدارس اضواء الهدايه للبنين والبنات الاهلية,1,MB,Education,Riyadh,AR RIYADH,0,1,7,0,2,5600.0,0
Teacher/Trainer,2022-11-04,مدارس اضواء الهدايه للبنين والبنات الاهلية,1,MB,Education,Riyadh,AR RIYADH,0,1,6,0,2,5600.0,0
Teacher/Trainer,2022-11-04,مدارس اضواء الهدايه للبنين والبنات الاهلية,1,MB,Education,Riyadh,AR RIYADH,0,1,5,0,2,5600.0,0
Teacher/Trainer,2022-11-04,مدارس اضواء الهدايه للبنين والبنات الاهلية,1,MB,Education,Riyadh,AR RIYADH,0,1,6,2,2,5600.0,0
Salesperson,2022-11-04,مؤسسة بسمه سعد الغامدي لتجارة الجملة و التجزئة,1,SB,Food Services,Al Baha,BILJURASHI,0,1,1,0,0,4000.0,0
Salesperson,2022-11-04,مؤسسة تصميم الخزامى التجارية,1,SB,Food Services,Riyadh,HAWTAT BANI TAMIM,0,1,1,0,0,4000.0,0
Manager,2022-11-04,شركة مجموعة زيد الحسين واخوانة للمقاولات,1,G,Tertiary and Services,Riyadh,AR RIYADH,0,1,5,0,0,5500.0,0
Driver,2022-11-04,شركة مجموعة زيد الحسين واخوانة للمقاولات,1,G,Tertiary and Services,Riyadh,AR RIYADH,0,1,10,0,0,4800.0,0
Analyst,2022-11-04,اللجنة الوطنية لرعاية السجناءوالمفرج عنهم  بالباحة,1,SB,Charity,Al Baha,AL BAHA,0,1,1,0,2,8803.0,0
Technician,2022-11-04,مؤسسة جازي  للمقاولات,1,SB,Technical Services,Madinah,AL MADINAH AL MUNAWARAH,0,1,1,0,0,4000.0,0
